K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;11.51558216;3056.8701
0;250;10.97950785;1042.9469
0;250;10.0400679;553.3907
0;250;9.309114317;424.5745
0;250;8.448343087;414.8451
0;250;7.542091446;454.777
0;250;6.589970925;493.1232
0;250;5.974713835;497.0036
0;250;5.252066339;447.0445
0;250;5.404801334;502.7071
0;250;4.717311063;445.2002
0;250;4.097519113;478.7885
0;250;3.355726471;523.0995
0;250;2.950778539;496.3258
0;250;2.15992505;469.934
0;250;1.595281017;485.5062
0;250;0.988216722;488.0623
0;250;0.063131615;466.6852
0;250;0.128407945;485.8251
1;0;10.90111524;318.5578
1;0;10.64068942;284.614
1;0;10.75954824;284.669
1;0;10.78239217;295.3431
1;0;10.5604713;280.6709
1;0;10.36370525;295.0171
1;0;9.946481231;275.4381
1;0;9.295994611;332.7289
1;0;8.812667673;296.2503
1;0;8.983983936;290.2884
1;0;8.419511647;303.4288
1;0;7.75280694;314.1089
1;0;7.067515108;323.9231
1;0;6.658187008;339.8053
1;0;5.927031248;352.2147
1;0;5.118059995;327.0449
1;0;5.078106857;327.3338
1;0;4.371176566;331.3024
1;0;4.317672037;339.5399
1;0;3.717486255;337.4114
1;0;3.583598189;360.8715
1;0;2.853505173;380.8412
1;0;3.002070224;384.633
1;0;2.267836881;377.105
1;0;2.102293851;409.1588
1;0;1.79351661;386.5742
1;0;1.129504696;372.8472
1;0;0.687879761;386.4011
1;0;0.259697322;409.9678
1;0;0.249678424;382.5427
1;900;11.87525229;340.2454
1;900;11.71437412;338.3303
1;900;11.52281775;333.4514
1;900;11.08696005;360.8621
1;900;10.58000665;348.4272
1;900;10.36387472;331.5214
1;900;9.836847438;334.0844
1;900;9.572515395;346.4646
1;900;8.943741453;347.0596
1;900;8.867708877;328.452
1;900;8.206185922;336.3773
1;900;7.721392431;338.6661
1;900;7.043732453;314.1425
1;900;6.44665713;300.3443
1;900;6.110724645;295.1035
1;900;5.666323336;292.714
1;900;5.460684399;285.2715
1;900;4.917805012;290.4789
1;900;4.447976064;300.8464
1;900;3.884514869;305.6693
1;900;3.393122384;305.284
1;900;2.885010437;316.0874
1;900;2.442513464;339.9234
1;900;1.78491793;331.264
1;900;1.239768312;340.9546
1;900;0.704918761;347.4634
1;900;0.154109887;196.1516
3;500;12.25571698;298.3592
3;500;11.8697947;295.0661
3;500;11.83799155;270.3549
3;500;11.89388031;292.0939
3;500;11.56420161;273.2684
3;500;11.04662109;262.5418
3;500;10.47306973;249.4904
3;500;9.943938141;240.1484
3;500;9.255983571;233.6739
3;500;8.603380691;241.4903
3;500;8.10099981;239.3948
3;500;7.472749973;239.4177
3;500;6.622042991;246.2541
3;500;6.218048834;236.1488
3;500;5.621895773;236.9733
3;500;4.91034955;240.8979
3;500;4.60999053;231.9327
3;500;4.009411166;228.1691
3;500;3.437764831;225.4727
3;500;2.893248087;256.8409
3;500;2.173427379;232.9335
3;500;1.613376414;229.1615
3;500;0.88434089;208.8168
3;500;0.567520329;409.4742
5;500;12.22865092;329.1046
5;500;12.16640063;364.2518
5;500;12.0133483;360.3822
5;500;11.60496754;383.0042
5;500;11.38665723;365.6526
5;500;10.79787003;338.8043
5;500;10.23026878;328.7098
5;500;9.720896139;333.4357
5;500;9.180032454;322.0899
5;500;8.617450889;325.0662
5;500;8.298179561;335.4017
5;500;7.727378516;322.0027
5;500;7.161186086;323.9896
5;500;6.958248229;304.6169
5;500;6.654096213;304.3888
5;500;6.216314402;308.0174
5;500;5.568890025;330.6227
5;500;5.237036044;332.2457
5;500;4.947137372;307.0546
5;500;4.435879113;302.6521
5;500;4.256344791;315.3285
5;500;3.936615165;302.8776
5;500;3.503988566;284.649
5;500;3.345484412;298.7007
5;500;2.952923225;281.818
5;500;2.471263401;277.048
5;500;2.232761323;285.8299
5;500;1.771990283;269.5158
5;500;1.156778756;272.7452
5;500;0.594623896;256.0603
5;500;0.305082635;254.5126
5;500;0.108205254;246.192
5;500;0.139551328;246.4046
7;900;12.7123501;344.7297
7;900;12.34495478;341.6329
7;900;12.13476657;361.6886
7;900;11.71323817;371.7921
7;900;11.44778488;370.4493
7;900;11.08072184;317.6905
7;900;11.25033219;349.157
7;900;11.23299075;324.3156
7;900;10.52692608;343.328
7;900;10.48019679;340.4169
7;900;9.826548278;342.1132
7;900;9.977990205;328.496
7;900;9.405324097;337.73
7;900;9.460122231;350.0294
7;900;8.822104109;321.4516
7;900;8.92203539;361.8751
7;900;8.376243243;347.9577
7;900;8.274635707;360.9689
7;900;7.828077094;332.6894
7;900;7.574462321;370.8112
7;900;7.573208975;333.8401
7;900;7.424668781;352.8206
7;900;7.006401916;332.4717
7;900;6.918659086;338.4778
7;900;6.637858496;340.9859
7;900;6.400202967;343.3551
7;900;5.926763786;328.1033
7;900;5.056984263;335.417
7;900;4.116215115;348.9228
7;900;3.583144445;320.3912
7;900;3.489241669;335.9497
