reflectance_date,km,+m,aerosol,blue,green,red,rojo 1,rojo 2,rojo 3,NIR,rojo 4,SWIR1,SWIR2,scc_date,SSC,SSC2,SSC4,SSC_median4,SSC_median2,time_diff,RANS,VNES,NIR/RED,NDTI,modelo_rans
2025-06-26,19,800,0.060100004,0.067404,0.089976005,0.100168,0.106451996,0.07536,0.079292,0.06296399,0.058464,0.016851999,0.014788001,2025-06-25,386.6778,364.1748333333333,362.8729142857143,357.5656,364.1644,1 days,0.4632431231860549,0.7655330363810662,0.6285838790831404,0.0536014532774777,5.59862639577166
2025-07-16,19,800,0.13154,0.142088,0.1762,0.19681598,0.20841198,0.166036,0.167936,0.145992,0.147824,0.09461201,0.086444,2025-07-16,604.4726078431372,592.902075,575.4922181818182,548.7787,577.034,0 days,0.4070618891490122,0.6545373834478502,0.7417690372499225,0.0552683560634587,4.531736334223114
2025-07-16,19,940,0.124896005,0.128792,0.163096,0.182456,0.197372,0.159336,0.163164,0.138768,0.14421201,0.090436004,0.083468005,2025-07-16,662.5061692307693,681.6017666666667,664.9148749999999,651.7108000000001,665.5809,0 days,0.4081543403521796,0.6589395820028359,0.7605559696584382,0.056026299949067,4.552482146438944
2025-12-16,3,500,0.0468,0.065827996,0.086508,0.098404,0.102028,0.066452,0.06994,0.057124,0.048616,0.010372,0.010199999,2025-12-17,335.8311411764706,335.4141,340.0864,340.4917,329.42195,1 days,0.4735412755231045,0.7841893212709526,0.5805048575261168,0.0643333044907848,5.794189853375084
2025-12-16,19,800,0.039160002,0.056368005,0.074824005,0.084776,0.09094399,0.068532005,0.07318799,0.060699996,0.05436,0.011388,0.011163998,2025-12-17,393.3288605263157,353.7274555555556,364.1150266666667,358.7263,352.4861,1 days,0.4861840587369286,0.7901209238671089,0.7160044824006794,0.0623558564424857,6.034278203023085
2025-12-16,14,800,0.050180003,0.06839201,0.086908,0.098015994,0.10310399,0.071208,0.077372,0.062836,0.055131998,0.012632,0.012011999,2025-12-17,374.4927928571429,405.620825,392.6647964285714,392.44855,407.4484,1 days,0.4719890860926559,0.7745278162784087,0.6410790467523086,0.0600678892972644,5.764713543262449
2025-12-16,17,600,0.0501,0.068215996,0.088724,0.098632,0.102983996,0.073404,0.078503996,0.063792,0.058436003,0.014555999,0.011824,2025-12-17,332.4544709677419,315.5647375,317.3260076923077,319.6688,314.119,1 days,0.4697811165165718,0.7676431111985038,0.6467677832752048,0.052883281026495,5.722783869817176
2025-12-31,14,800,0.04644,0.053235997,0.076264,0.08220801,0.089519985,0.064808,0.067372,0.054604,0.050516,0.015076,0.011344,2025-12-30,178.8663333333334,226.2066666666667,210.91375,220.54,238.09,1 days,0.4673626618492729,0.7731713293654288,0.6642175135975192,0.0375082640776752,5.676857052916969
2025-12-31,17,600,0.046,0.054347996,0.076664,0.083076,0.09032,0.067324,0.067812,0.05862,0.054736,0.019415999,0.014779999,2025-12-30,196.2057894736842,224.368,219.2442857142857,223.28,223.28,1 days,0.4616948712632263,0.7559888581964821,0.7056189513216814,0.0401402278702892,5.569224859519357
2025-12-31,18,200,0.040256,0.047691997,0.07012,0.078228004,0.085252,0.065864,0.068212,0.05634,0.052028004,0.016416002,0.014524,2025-12-30,192.8943478260869,197.8666666666667,199.4433333333334,211.63,206.32,1 days,0.4749682428882369,0.7758718116348461,0.7202024482179041,0.0546552955306362,5.821288177684053
