fecha,estacion,SSC,NIR
2018-01-27,1,301.32376,0.0640558622009027
2018-01-27,2,354.16406,0.0702958745769357
2018-01-27,3,341.3943,0.06878786912581276
2018-01-27,4,362.73364,0.07130787271580707
2018-01-27,5,348.50742,0.069627871109757
2018-01-27,6,339.97168,0.0686198692013916
2018-01-27,7,314.53387,0.06561586942812808
2018-01-27,8,312.70474,0.06539986395811044
2018-01-27,9,262.1678,0.05943185978238021
2018-01-27,10,309.58853,0.06503186474224078
2018-01-27,11,366.66272,0.07177186530908197
2018-01-27,12,318.49686,0.06608386651834322
2018-01-27,13,299.7318,0.06386786459108312
2018-01-27,14,339.59906,0.06857586579089701
2018-01-27,15,350.1671,0.06982386590426524
2018-01-27,16,348.16867,0.06958786747252592
2018-02-01,1,324.15347,0.06675186644276439
2018-02-01,2,349.01547,0.06968786770870974
2018-02-01,3,324.6954,0.06681586399589985
2018-02-01,4,348.50742,0.069627871109757
2018-02-01,5,357.11087,0.07064386902189189
2018-02-01,6,367.71277,0.07189586772760446
2018-02-01,7,330.45367,0.06749586914470748
2018-02-01,8,341.15723,0.06875987307480652
2018-02-01,9,302.54315,0.06419986230482358
2018-02-01,10,336.27966,0.06818387147820378
2018-02-01,11,306.67554,0.06468786416595221
2018-02-01,12,297.4285,0.06359586347629541
2018-02-01,13,314.97418,0.0656678664805538
2018-02-01,14,344.71375,0.0691798693431019
2018-02-01,15,384.7504,0.0739078741329101
2018-02-01,16,340.92007,0.06873186639552763
2018-02-21,1,464.31558,0.08330387884713947
2018-02-21,2,483.04678,0.08551588218205523
2018-02-21,3,469.56573,0.08392387913056006
2018-02-21,4,461.77524,0.08300388522410303
2018-02-21,5,466.9576,0.08361588005640071
2018-02-21,6,437.0487,0.08008388068937337
2018-02-21,7,438.77618,0.08028788211592375
2018-02-21,8,440.80847,0.08052787914000742
2018-02-21,9,416.35294,0.07763987869598181
2018-02-21,10,427.0903,0.07890787413291009
2018-02-21,11,447.5151,0.08131987794019353
2018-02-21,12,448.19257,0.08139988167189814
2018-02-21,13,469.43027,0.08390788239934435
2018-02-21,14,470.88675,0.08407988091610986
2018-02-21,15,504.55548,0.0880558858192863
2018-02-21,16,483.9952,0.0856278829189488
2018-02-26,1,221.89404,0.054675854217889036
2018-02-26,2,228.36357,0.05543985342431135
2018-02-26,4,211.58282,0.053458182470908056
2018-02-26,5,151.44037,0.046355845195666504
2018-02-26,6,149.91614,0.046175845951454776
2018-02-26,7,137.01093,0.04465184495003531
2018-02-26,8,135.55443,0.04447984407143144
2018-02-26,9,119.09264,0.0425358397162015
2018-02-26,10,133.55598,0.04424384327785375
2018-02-26,11,159.40027,0.0472958450539562
2018-02-26,12,141.54976,0.04518784409032615
2018-02-26,13,164.34558,0.04787984619708597
2018-02-26,14,156.75826,0.04698384502561414
2018-02-26,15,161.26323,0.04751584557356064
2018-02-26,16,155.03078,0.046779843599063765
2018-12-03,1,259.99997,0.0591758565797274
2018-12-03,2,242.7253,0.05713585766617304
2018-12-03,3,216.339,0.054019848889581695
2018-12-03,4,245.02858,0.05740785641912239
2018-12-03,5,273.27777,0.06074385744888391
2018-12-03,6,268.2986,0.06015585771340981
2018-12-03,7,228.16034,0.055415853603811065
2018-12-03,8,271.04224,0.060479859423380786
2018-12-03,9,192.79803,0.051239850590105315
2018-12-03,10,219.65848,0.05441185264962836
2018-12-03,11,283.56717,0.06195895243021358
2018-12-03,12,280.9667,0.06165185794014629
2018-12-03,13,243.67369,0.057247854860309075
2018-12-03,14,282.11414,0.06178736133056527
2018-12-03,15,290.28152,0.06275186290000685
2018-12-03,16,247.73833,0.05772785599399149
2018-12-13,1,293.77032,0.06316386198361357
2018-12-13,2,326.59225,0.06703986665060616
2018-12-13,3,299.42694,0.06383186308895392
2018-12-13,4,293.05902,0.06307986320232216
2018-12-13,5,292.14447,0.06297186223869211
2018-12-13,6,257.89993,0.05892785882819751
2018-12-13,7,268.9083,0.06022785835582984
2018-12-13,8,317.07425,0.06591586777484124
2018-12-13,9,257.39185,0.058867858686487216
2018-12-13,10,256.1047,0.058715856674200935
2018-12-13,11,317.07425,0.06591586777484124
2018-12-13,12,298.41077,0.06371186162461413
2018-12-13,13,311.8241,0.06529586749142062
2018-12-13,14,354.46887,0.070331870174469
2018-12-13,15,326.99872,0.06708786747252592
2018-12-13,16,286.89432,0.06235186195527151
2018-12-18,1,278.9005,0.06140785641912239
2018-12-18,2,239.33809,0.05673585554051852
2018-12-18,3,329.74234,0.06741186682065854
2018-12-18,4,238.99937,0.05669585544604499
2018-12-18,5,284.4894,0.062067860339774066
2018-12-18,6,278.59567,0.06137185845975073
2018-12-18,7,249.02545,0.05787985446352023
2018-12-18,8,267.3841,0.060047862654375665
2018-12-18,9,237.8816,0.05656385584283383
2018-12-18,10,279.34088,0.06145986173798238
2018-12-18,11,323.27277,0.06664786289055949
2018-12-18,12,296.07364,0.06343586546023963
2018-12-18,13,325.16962,0.06687186554526582
2018-12-18,14,308.97882,0.06495986291890156
2018-12-18,15,328.82782,0.06730386939978603
2018-12-18,16,286.01364,0.06224786076490498
2018-12-23,1,302.50925,0.06419585898880252
2018-12-23,2,264.67432,0.05972785953674903
2018-12-23,3,261.05002,0.05929985899824988
2018-12-23,4,256.6805,0.058783854000599906
2018-12-23,5,279.98447,0.061535864515504295
2018-12-23,6,244.08014,0.05729585332039046
2018-12-23,7,213.697,0.05370785004215882
2018-12-23,8,268.53574,0.06018386203085033
2018-12-23,9,242.52203,0.05711185312199604
2018-12-23,10,233.71533,0.05607185302752251
2018-12-23,11,257.56122,0.05888785991464316
2018-12-23,12,271.88904,0.060579859659564625
2018-12-23,13,260.03384,0.05917985635299091
2018-12-23,14,248.85611,0.05785985677812182
2018-12-23,15,284.1168,0.06202385929111784
2018-12-23,16,258.78058,0.05903185647580651
2018-12-28,1,223.0118,0.054807852640181016
2018-12-28,2,224.807,0.05501985125142005
2018-12-28,3,206.38068,0.05284385178047185
2018-12-28,4,206.821,0.052895850013816754
2018-12-28,5,195.67712,0.05157984785037281
2018-12-28,6,219.8617,0.054435851289209476
2018-12-28,7,220.74237,0.05453985129865682
2018-12-28,8,155.47113,0.046831845375166214
2018-12-28,9,151.00003,0.046303844600483236
2018-12-28,10,198.25139,0.05188384833218784
2018-12-28,11,215.01802,0.05386385182770862
2018-12-28,12,252.64977,0.05830785736385774
2018-12-28,13,248.8561,0.05785985559720264
2018-12-28,14,231.75078,0.05583985554996587
2018-12-28,15,262.64197,0.05948785542715029
2018-12-28,16,227.88936,0.05538385305586457
2019-01-02,1,287.63953,0.062439865233503145
2019-01-02,2,285.60718,0.0621998611239044
2019-01-02,3,229.10876,0.05552785434070463
2019-01-02,4,276.2924,0.06109986088772056
2019-01-02,5,248.92384,0.05786785514372968
2019-01-02,6,246.04472,0.057527854340704634
2019-01-02,7,241.70912,0.05701585502091408
2019-01-02,8,211.4276,0.05343985224339217
