K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;13.14578713;207.1362
0;250;13.13782975;202.5032
0;250;13.08841177;233.2685
0;250;12.72029208;230.0611
0;250;12.47335661;225.359
0;250;12.2113371;216.9814
0;250;11.72671792;232.0808
0;250;11.60749565;227.3268
0;250;11.16069147;200.2208
0;250;10.85797139;201.7312
0;250;10.57897484;216.7589
0;250;9.905718067;216.9881
0;250;9.880427293;210.6984
0;250;9.783294659;235.0252
0;250;9.115537519;235.2051
0;250;9.036773463;208.6707
0;250;9.16399404;231.6419
0;250;9.306132855;240.1232
0;250;8.911669639;211.4313
0;250;8.261029473;200.5786
0;250;8.213581653;205.1936
0;250;8.182303161;240.0679
0;250;8.082946189;243.2026
0;250;7.658782135;243.5145
0;250;7.812755346;247.3636
0;250;7.709617551;214.1116
0;250;7.11182616;217.5879
0;250;7.006523497;212.2859
0;250;6.966654234;216.2421
0;250;6.251518442;215.9557
0;250;6.030499428;237.0053
0;250;6.09798413;242.4717
0;250;6.109390279;233.5139
0;250;5.184495054;219.9206
0;250;5.150788516;242.8141
0;250;5.186737514;227.2098
0;250;5.026014108;220.4272
0;250;4.268947535;219.9493
0;250;3.823617645;257.6406
0;250;3.766180736;232.9706
0;250;3.754977379;210.0465
0;250;3.804488799;1410.3806
0;250;3.373876589;1552.3185
0;250;2.877303723;1530.1055
0;250;2.456545314;1328.9332
0;250;1.849400394;2304.095
0;250;1.619639998;1149.9307
0;250;1.350338772;678.8181
0;250;1.340481341;561.526
0;250;1.256944834;515.4221
0;250;0.910537761;550.6093
0;250;0.6984169;576.5076
0;250;0.293206858;693.3385
0;250;0.026032099;603.6735
0;250;0.09991161;631.7045
0;250;0.091772704;575.8934
0;250;0.131137551;562.5849
1;0;11.48090295;228.5141
1;0;11.47316913;307.9201
1;0;10.86084871;285.695
1;0;10.36715602;273.7937
1;0;10.06958793;245.8231
1;0;9.874740507;244.0949
1;0;9.200817545;244.56
1;0;8.604411076;222.4243
1;0;8.301297082;228.3664
1;0;7.905673046;227.0036
1;0;7.642600119;230.1126
1;0;7.242838874;224.3412
1;0;6.584541293;230.5257
1;0;6.066735749;231.9135
1;0;5.494709641;227.9458
1;0;5.297470436;218.8973
1;0;4.959684154;187.3143
1;0;4.441357333;207.8134
1;0;4.12209352;218.4634
1;0;3.392718468;217.7809
1;0;3.374400947;187.3194
1;0;3.069731026;190.3467
1;0;2.450080703;182.5569
1;0;2.531371641;181.1396
1;0;2.543833505;163.5974
1;0;2.057120921;172.9086
1;0;1.554138429;156.3878
1;0;1.558235915;154.3255
1;0;1.566773073;151.2318
1;0;0.849694942;159.4694
1;0;0.763546087;160.6713
1;0;0.753598296;158.3961
1;0;0.742148279;126.5438
1;0;0.680146848;682.4159
1;900;13.76798463;243.7615
1;900;13.67537704;239.2934
1;900;13.53333376;192.36
1;900;13.68244321;229.8414
1;900;13.81367254;207.0535
1;900;13.70022185;238.7362
1;900;13.55268674;224.392
1;900;13.43621173;234.5145
1;900;13.42589484;230.8523
1;900;13.5059882;236.0643
1;900;13.53548485;221.9882
1;900;13.34085562;221.0086
1;900;12.9950585;230.2248
1;900;12.71078711;249.4813
1;900;12.82909805;251.8342
1;900;12.78550188;238.02
1;900;11.81060908;231.9844
1;900;11.40946019;244.7477
1;900;11.09413392;232.3769
1;900;10.87602988;242.6829
1;900;10.64108633;222.4919
1;900;10.06170418;232.0372
1;900;9.598665169;232.9327
1;900;9.052749324;249.737
1;900;8.756086017;240.7294
1;900;8.142452707;247.8464
1;900;7.774170502;237.549
1;900;7.39206307;224.727
1;900;7.198033847;261.6554
1;900;6.788192625;249.3382
1;900;6.157787124;241.759
1;900;5.600875767;234.6722
1;900;5.162245567;239.3015
1;900;4.909033476;252.38
1;900;4.635368566;226.4125
1;900;4.145813926;218.4721
1;900;3.764024446;236.3437
1;900;3.4082979;231.9237
1;900;2.792791206;260.4695
1;900;2.299439069;233.9658
1;900;1.916999736;241.6907
1;900;1.334486653;251.2092
1;900;0.822326774;228.4751
1;900;0.544691669;211.0815
1;900;0.469202651;245.8251
1;900;0.483017911;223.1715
1;900;0.468545129;226.1595
1;900;0.058793842;171.2473
3;500;8.412729345;657.9689
3;500;8.399929408;669.1977
3;500;8.384209045;626.1876
3;500;8.377143873;730.8264
3;500;8.379350605;706.7129
3;500;8.397779977;621.7506
3;500;8.409560722;648.085
3;500;8.409837033;630.4051
3;500;8.40232645;602.1205
3;500;8.391137986;575.4356
3;500;8.390818627;578.1864
3;500;8.386695699;755.3936
3;500;8.393398619;648.6545
3;500;8.389821083;658.4753
3;500;8.349878282;559.179
3;500;8.236752476;539.7031
3;500;8.317767607;489.4648
3;500;8.261685919;644.3659
3;500;8.326797802;498.7385
3;500;8.3455405;617.6395
3;500;8.086965604;574.1952
3;500;8.295765203;568.8473
3;500;8.116379196;443.4639
3;500;8.276002454;679.5189
3;500;8.076130128;495.6827
3;500;8.123948982;433.8324
3;500;8.033361177;517.9644
3;500;7.373626218;381.348
3;500;7.795098082;562.2518
3;500;7.206255298;543.8862
3;500;7.845574559;575.3951
3;500;7.118164378;620.6284
3;500;7.407923524;482.9985
3;500;7.613951892;662.2526
3;500;6.974212996;623.4677
3;500;7.257111852;655.8066
3;500;7.358339775;506.8454
3;500;7.350279822;502.9302
3;500;6.586852449;522.9816
3;500;6.703710217;496.847
3;500;6.714933717;441.9816
3;500;6.713683072;406.0899
3;500;6.491181111;326.7867
3;500;5.328198527;339.0418
3;500;5.293176529;351.8604
3;500;5.32005161;320.5659
3;500;5.316629813;280.5231
3;500;4.922845354;278.6487
3;500;3.76431526;321.9859
3;500;3.751381308;308.6973
3;500;3.774050587;314.2784
3;500;3.808940171;260.4986
3;500;3.829438421;224.867
3;500;3.475462811;224.526
3;500;2.682907018;251.4218
3;500;2.685541806;232.5907
3;500;2.696406518;248.3684
3;500;2.035547985;299.0664
3;500;2.033436656;233.7898
3;500;2.066537835;228.7713
3;500;1.580846929;217.5121
3;500;1.204653105;236.6614
3;500;1.113101751;227.9391
3;500;1.134678974;201.6819
3;500;1.125482264;208.8897
3;500;0.458608598;203.4999
3;500;0.355130882;198.0034
3;500;0.396481307;213.2201
3;500;0.416509573;205.4554
3;500;0.434643855;206.0438
3;500;0.437287778;194.6207
3;500;0.441805694;204.3666
3;500;0.456977147;196.5908
3;500;0.325109574;679.4887
5;500;13.39168746;415.5929
5;500;12.86826922;430.9133
5;500;12.75340708;430.1112
5;500;12.76038148;507.5134
5;500;12.84171092;466.4902
5;500;12.40324217;385.2069
5;500;11.93236229;400.6453
5;500;12.06059265;468.9559
5;500;12.06220027;396.6844
5;500;10.9083003;441.1273
5;500;10.88963023;430.0266
5;500;10.9130194;405.558
5;500;10.49597702;425.6539
5;500;10.06504791;426.5263
5;500;9.934154959;417.7763
5;500;9.485800612;463.0358
5;500;9.247637348;384.9893
5;500;8.98588135;396.5452
5;500;8.623683723;401.8667
5;500;8.580867243;432.8142
5;500;8.214743749;397.5835
5;500;8.122353255;398.1219
5;500;7.852057021;426.3415
5;500;7.613865939;422.2786
5;500;7.163225145;422.5712
5;500;7.097100566;415.5778
5;500;6.551354282;391.5174
5;500;6.558647971;416.2367
5;500;6.019990875;416.5813
5;500;5.989301506;401.21
5;500;5.446996053;374.0305
5;500;5.278760592;368.2729
5;500;4.892170342;393.3319
5;500;4.510477618;363.9015
5;500;4.386908948;381.8617
5;500;3.948178581;367.5225
5;500;3.858224345;361.7633
5;500;3.478928743;369.8771
5;500;3.439005071;377.5965
5;500;3.458087548;344.7105
5;500;3.496538849;345.2226
5;500;3.200296708;312.0067
5;500;2.102802355;332.3084
5;500;2.123972958;354.5228
5;500;2.143777976;350.929
5;500;2.114431033;334.7124
5;500;1.079008994;357.426
5;500;0.64148465;372.9338
5;500;0.667221485;366.8449
5;500;0.665103653;346.8376
5;500;0.210396087;275.8688
7;900;14.00872207;801.5462
7;900;13.99644492;838.4934
7;900;13.74259775;923.6629
7;900;13.77444157;937.514
7;900;13.80529884;1010.2848
7;900;13.77921527;874.7452
7;900;12.77085236;859.526
7;900;12.77537882;932.7609
7;900;12.69792074;887.6824
7;900;12.36270537;915.1814
7;900;12.30058707;804.8871
7;900;12.26107462;777.9941
7;900;12.17208307;784.8767
7;900;11.84263087;844.0855
