K;#�NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
14;800;12.19938447;738.8011
14;800;12.1149001;717.8374
14;800;12.19948589;687.711
14;800;12.12542711;739.9822
14;800;11.80174373;785.4674
14;800;11.4233349;725.889
14;800;11.11571409;745.753
14;800;10.7374238;740.1011
14;800;10.42971136;653.0166
14;800;9.941794898;689.1125
14;800;9.466180987;727.6842
14;800;9.126314719;691.5819
14;800;8.634792482;715.922
14;800;8.230339118;719.7193
14;800;7.673596524;758.5536
14;800;7.0241924;780.4793
14;800;6.254780613;820.4877
14;800;5.762910968;820.5927
14;800;5.339375887;819.1256
14;800;5.333653637;707.7727
14;800;5.050757301;810.6409
14;800;4.56814525;712.2673
14;800;4.230032682;739.233
14;800;3.790688097;718.1886
14;800;3.393519215;740.195
14;800;3.046455137;728.2619
14;800;2.65352947;725.4969
14;800;2.206939792;737.7486
14;800;1.779875954;698.6341
14;800;1.462122323;737.4474
14;800;1.075346317;784.2483
14;800;0.531159014;775.2842
17;600;13.46430112;575.2007
17;600;13.32619017;575.7092
17;600;13.02886316;618.5349
17;600;13.05713199;579.3158
17;600;12.82917785;565.4418
17;600;12.85306538;641.6286
17;600;12.46457127;615.987
17;600;12.03832208;548.5505
17;600;11.53535831;638.396
17;600;11.05339695;572.6525
17;600;10.53371499;594.3684
17;600;10.12019457;586.13
17;600;9.747242692;601.0141
17;600;9.343408101;584.7184
17;600;9.051078029;606.4673
17;600;8.683697642;631.357
17;600;8.253482212;629.5509
17;600;7.711942409;681.7882
17;600;7.285348019;657.1747
17;600;6.860725105;652.6316
17;600;6.451295704;663.4886
17;600;6.050960876;698.9555
17;600;5.568266512;636.4937
17;600;5.188018925;662.3442
17;600;4.684839147;697.5688
17;600;4.121784688;662.4404
17;600;3.799640232;664.8198
17;600;3.388069916;675.318
17;600;2.994205434;700.1141
17;600;2.486791523;709.2184
17;600;2.0360564;673.7938
17;600;1.546141054;696.8765
17;600;1.176995158;698.9191
17;600;0.911069321;681.8285
18;200;13.20339186;1315.9211
18;200;13.19390488;1208.937
18;200;13.08179484;1359.0745
18;200;13.0473834;1185.2927
18;200;12.90528534;1069.6533
18;200;12.81797277;949.0916
18;200;12.33004546;944.9534
18;200;12.30860088;845.7093
18;200;12.05882212;748.9698
18;200;11.91159344;820.0136
18;200;11.42257572;694.3333
18;200;10.76625439;723.6673
18;200;10.41726588;671.5044
