K;#�NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
3;500;8.441886876;406.8087
3;500;8.071709251;365.6836
3;500;7.822282996;337.0769
3;500;7.498767279;330.8491
3;500;7.176175201;335.1071
3;500;6.82201421;333.5214
3;500;6.575121772;321.051
3;500;6.375260651;351.259
3;500;6.201090267;353.2759
3;500;5.992579348;334.7639
3;500;5.815818047;348.8719
3;500;5.570639428;342.3886
3;500;5.417451795;341.1052
3;500;5.20760724;346.6858
3;500;5.082017651;328.7211
3;500;4.909325146;337.9105
3;500;4.710396246;326.2323
3;500;4.550959206;331.0005
3;500;4.532384487;334.4879
3;500;4.523504328;340.7693
3;500;4.605053734;342.7086
3;500;4.558557079;328.5561
3;500;4.590652435;342.6074
3;500;4.501981708;363.8515
3;500;4.545447465;347.305
3;500;4.605888968;351.7816
3;500;4.644947959;339.425
3;500;4.6150198;334.502
3;500;4.541705496;319.7284
3;500;4.409743165;350.8853
3;500;4.407274248;366.2399
3;500;4.501928409;319.2853
3;500;4.655146094;326.7109
3;500;4.716962653;377.7502
3;500;4.637309307;347.3395
3;500;4.473087759;353.9117
3;500;4.22905267;340.186
3;500;4.134390179;338.1861
3;500;4.037305421;329.6914
3;500;4.153229955;332.1018
3;500;3.89835793;368.7311
3;500;3.717089093;350.1089
3;500;3.664007741;325.9045
3;500;3.68841646;306.922
3;500;3.495667008;333.2537
3;500;3.299920988;322.396
3;500;3.278777726;315.6305
3;500;3.282642156;330.7838
3;500;3.201493691;312.4691
3;500;3.024925746;320.558
3;500;3.062661379;291.8152
3;500;2.883120898;286.0329
3;500;2.732804829;290.4835
3;500;2.309271784;283.7918
3;500;2.18488513;287.4927
3;500;2.155665716;274.7885
3;500;1.969187931;280.0235
3;500;1.127662544;368.1622
5;500;13.49050311;333.8211
5;500;13.33561479;343.4386
5;500;13.20257495;336.476
5;500;12.9797339;331.1537
5;500;12.61818933;337.5901
5;500;12.41435996;329.4199
5;500;12.25550688;328.6603
5;500;12.00345045;347.9664
5;500;11.63902783;370.1376
5;500;11.13431498;328.0049
5;500;10.88124684;326.9532
5;500;10.59143246;328.6376
5;500;10.38687685;325.5298
