K;#�NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
5;500;10.06672339;346.6036
5;500;9.710758319;329.722
5;500;9.431157299;318.1257
5;500;8.941064512;326.5757
5;500;8.601689715;327.5428
5;500;8.164339126;339.1771
5;500;7.699655565;333.7181
5;500;7.148311638;338.134
5;500;6.380262556;355.748
5;500;5.77412207;352.5419
5;500;5.419912842;346.1038
5;500;4.658092904;369.7143
5;500;4.359529542;358.3976
5;500;3.85200229;338.2146
5;500;3.40025831;323.2563
5;500;2.802742674;349.5616
5;500;2.243927642;335.9487
5;500;1.759825144;339.871
5;500;1.70648375;341.6601
5;500;1.348188935;325.159
5;500;0.731433994;336.897
7;900;12.69108519;324.1318
7;900;12.69120485;341.7088
7;900;12.57031216;361.2647
7;900;12.6063156;366.3642
7;900;12.54573765;345.7972
7;900;12.64686172;362.8166
7;900;12.65312365;347.8194
7;900;12.37801808;359.6912
7;900;11.88309499;352.432
7;900;11.63936421;343.5664
7;900;11.09069146;341.6811
7;900;10.68150084;335.3974
7;900;9.747851152;362.1833
7;900;8.828160499;354.786
7;900;8.022813949;339.4724
7;900;7.382273643;363.7241
7;900;6.797202617;335.6524
7;900;6.382011988;328.2207
7;900;5.67049302;342.2402
7;900;4.84606275;346.8694
7;900;4.509482688;345.0771
7;900;3.90988473;335.2477
7;900;3.351879025;322.9233
7;900;2.826124152;363.798
7;900;2.773455032;355.1319
7;900;2.892961465;350.382
7;900;2.973938942;344.801
7;900;3.140689549;333.2795
7;900;2.535500804;343.8589
7;900;2.163707632;343.1272
7;900;1.996239641;354.2629
7;900;1.622771828;326.8814
7;900;1.127845702;339.9146
7;900;0.710164661;318.5344
7;900;0.560489757;339.004
7;900;0.586931576;336.1383
7;900;0.669402653;323.7254
11;200;11.62743537;387.363
11;200;11.25214262;386.1196
11;200;10.1955216;384.4827
11;200;9.304899278;374.1059
11;200;8.393563681;381.2618
11;200;7.613883846;360.4302
11;200;6.775894906;370.2274
11;200;6.063146928;340.1253
11;200;5.605012689;343.374
11;200;5.105017039;354.6508
11;200;4.456552514;373.0558
11;200;3.963006798;349.3329
11;200;3.349193629;338.0869
11;200;2.927722155;354.1252
11;200;2.957573623;351.3081
11;200;2.492588661;369.2432
11;200;2.004317046;356.2018
11;200;1.714174047;374.7997
11;200;1.332541308;342.9553
11;200;0.983949318;343.6132
11;200;0.569212047;379.4892
14;800;11.82620532;337.2
14;800;11.56376041;334.5007
14;800;10.9771461;349.8678
14;800;10.65067359;381.4661
14;800;10.27365283;372.4652
14;800;9.64372404;379.2954
14;800;9.127695142;415.8445
14;800;8.513424185;407.7501
14;800;8.068052115;360.9901
14;800;7.512426416;430.2016
14;800;6.978121154;435.3729
14;800;6.395968447;376.0529
14;800;5.88393999;443.339
14;800;5.618920335;367.5841
14;800;5.095155926;409.7044
14;800;4.706549598;390.7679
14;800;4.387022618;420.7725
14;800;4.098218378;413.7256
14;800;3.5207988;364.8956
14;800;3.214997184;376.6402
14;800;2.69431631;385.9292
14;800;2.288246404;372.8327
14;800;1.808791477;348.8121
14;800;1.453717942;361.9894
14;800;1.015794038;356.5306
14;800;0.586973783;361.107
17;600;12.45412261;334.8408
17;600;12.12860301;326.7493
17;600;11.59162558;327.9863
17;600;11.31917757;326.7511
17;600;11.22444859;314.675
17;600;11.34147438;364.9021
17;600;11.31951008;372.9856
17;600;11.33780214;373.1873
17;600;11.29376306;364.0246
17;600;11.10164025;345.7943
17;600;11.00936309;368.4949
17;600;10.92012163;387.7514
17;600;10.43804943;397.7538
17;600;10.3087708;394.8372
17;600;9.870850921;400.9657
17;600;9.163141984;368.6747
17;600;8.970547769;339.6329
17;600;8.466280344;350.3505
17;600;7.872590885;354.0542
17;600;7.671243235;365.5265
17;600;7.15460751;352.7906
17;600;6.392626564;376.1762
17;600;6.155200148;356.6848
17;600;5.607795604;360.3181
17;600;5.228282284;343.8133
17;600;4.942164304;332.0676
17;600;4.404695224;349.9211
17;600;4.237670468;350.0116
17;600;3.874851272;362.9009
17;600;3.568749009;400.5289
17;600;3.213481426;345.4092
17;600;2.795026992;385.5005
17;600;2.670048097;324.9926
17;600;2.023123796;331.8681
17;600;1.892815911;332.2641
17;600;1.279492177;330.5275
17;600;0.908478415;329.3553
17;600;0.674539002;333.8538
18;200;11.98201194;1078.0565
18;200;11.66442026;396.9235
18;200;11.41379102;372.9465
18;200;11.15526864;361.8519
18;200;10.40275084;346.9873
18;200;9.949571863;354.7033
18;200;9.603286362;342.6844
18;200;8.874459324;337.3414
18;200;8.158274786;336.4438
18;200;7.224970642;357.3972
18;200;6.370098152;344.6894
18;200;5.753439707;343.7161
18;200;5.306414448;339.9789
18;200;4.817765678;342.2754
18;200;4.538361563;338.3361
18;200;3.940436483;354.2428
18;200;3.390791013;354.6131
18;200;2.975209548;356.5485
18;200;2.386193293;346.0787
18;200;1.83946302;339.5948
18;200;1.312189781;338.1234
18;200;0.799933225;334.4593
19;800;12.81722191;4767.67
19;800;12.35380281;4412.7386
19;800;12.03442277;5485.3555
19;800;11.53354302;5503.2768
19;800;11.20073814;4218.3924
19;800;10.85336845;5947.5463
19;800;10.69335893;4572.3448
19;800;10.59914245;4122.7901
19;800;10.3463256;4438.444
19;800;10.12312075;4756.0157
19;800;9.59408002;3865.5968
19;800;9.107693853;3394.6922
19;800;8.431307382;4175.3607
19;800;7.729936332;4288.4373
19;800;7.053045071;377.5975
19;800;6.610418443;379.3654
19;800;6.148713156;330.7848
19;800;5.662328321;355.9322
19;800;5.361831271;362.0707
19;800;4.936977868;339.6864
19;800;4.463270983;344.2181
19;800;4.429075854;338.1733
19;800;4.43321819;347.112
19;800;3.879204118;337.8038
19;800;3.457853663;344.2382
19;800;3.072138346;348.0113
19;800;2.632619623;348.4429
19;800;2.114197962;348.9965
19;800;1.535813121;365.4007
19;800;1.198956482;377.6296
19;800;0.706122039;373.4199
19;940;14.63534408;345.2593
19;940;14.62199213;342.0243
19;940;14.61838189;345.6519
19;940;14.62112509;361.6182
19;940;14.58263456;352.6821
19;940;14.56800937;345.4183
19;940;14.5810682;353.5375
19;940;14.10595523;331.3835
19;940;13.98664528;345.1176
19;940;13.78798475;343.173
19;940;13.61620252;346.0399
19;940;13.23922139;350.2903
19;940;12.68344474;339.5966
19;940;12.19229637;348.7889
19;940;11.81448094;333.011
19;940;11.26977397;343.4566
19;940;10.73787854;344.0067
19;940;10.29566205;324.7385
19;940;10.30711235;342.2588
19;940;10.05321888;351.2044
19;940;9.57325675;341.4853
19;940;9.435636277;344.8182
19;940;8.618779307;366.9671
19;940;7.826815786;365.9064
19;940;7.181341032;343.6914
19;940;6.399042576;357.8032
19;940;6.053490093;330.3318
19;940;5.336755108;357.7037
19;940;4.860501909;364.8275
19;940;4.575629732;356.8028
19;940;4.045212706;352.0428
19;940;3.42137632;358.6921
19;940;2.981095447;360.5532
19;940;2.338068285;383.7168
19;940;1.652564299;356.0992
19;940;1.31123126;349.816
