K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
1;900;10.7132;256.5445
1;900;10.3807;270.7125
1;900;10.10118;267.9613
1;900;10.32687;262.5108
1;900;10.21602;255.2933
1;900;10.18889;239.9865
1;900;10.12172;248.7328
1;900;9.61226;282.582
1;900;9.14781;251.1354
1;900;8.64308;262.2609
1;900;8.3806;276.71
1;900;7.99448;260.3093
1;900;7.74952;272.6437
1;900;7.7204;270.289
1;900;7.88061;248.1275
1;900;8.978;261.7146
1;900;7.75366;280.3069
1;900;6.93178;256.9888
1;900;6.49602;265.9345
1;900;6.48368;255.6909
1;900;6.42537;248.5596
1;900;6.48375;287.9825
1;900;6.24633;276.6641
1;900;5.64054;251.9348
1;900;5.5682;266.8538
1;900;5.70032;274.871
1;900;5.14863;260.2443
1;900;4.83931;244.21
1;900;4.84529;240.5382
1;900;4.8048;238.4861
1;900;4.83222;252.3888
1;900;4.29538;239.7327
1;900;3.87213;263.0608
1;900;4.4082;260.0015
1;900;3.38489;221.9883
1;900;2.96193;240.3299
1;900;2.89018;233.8144
1;900;2.22613;230.776
1;900;2.27977;234.5759
1;900;1.71119;224.8797
1;900;1.33221;220.3826
1;900;1.48162;219.2113
1;900;0.63552;210.022
1;900;0.70438;211.76
1;900;0.62672;230.543
1;900;0.16544;216.9491
3;500;5.40356;269.3882
3;500;4.98074;234.1044
3;500;4.95577;243.4744
3;500;5.13289;279.2905
3;500;4.38901;237.4616
3;500;4.54418;244.4146
3;500;4.63899;271.6447
3;500;4.24602;281.2978
3;500;3.99405;248.5784
3;500;4.7393;242.1726
3;500;3.53356;269.8974
3;500;3.33242;264.3037
3;500;3.43498;287.8987
3;500;3.19151;254.0024
3;500;3.15205;253.4364
3;500;3.1949;234.1652
3;500;2.39371;235.5
3;500;2.47484;233.5995
3;500;2.20042;247.6673
3;500;1.58809;234.3405
3;500;1.64358;214.8206
3;500;1.24111;212.7698
3;500;0.92065;235.9142
3;500;0.98375;213.6844
3;500;0.74391;214.2797
3;500;0.26674;222.5025
3;500;0.42264;220.059
3;500;0.38696;224.4733
3;500;0.32703;226.818
3;500;0.46838;295.358
3;500;0.32659;277.9442
3;500;0.20076;267.1115
5;500;12.89575;274.6874
5;500;12.87321;267.9683
5;500;12.8248;283.082
5;500;12.74639;253.8253
5;500;12.30579;279.8246
5;500;11.92039;261.0291
