K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
19;800;10.4675;335.2797
19;800;10.32938;369.0509
19;800;10.3082;362.602
19;800;9.55011;382.1784
19;800;8.97533;381.4138
19;800;8.72371;387.8355
19;800;8.30493;409.4721
19;800;7.78573;376.7483
19;800;7.18539;350.4022
19;800;6.73544;390.6258
19;800;6.22187;365.5254
19;800;5.69618;376.6659
19;800;5.2073;359.0362
19;800;4.61475;357.5125
19;800;4.21358;357.3774
19;800;3.58077;343.2021
19;800;3.438;367.9408
19;800;2.48445;365.6232
19;800;1.92355;342.1099
19;800;1.44992;349.9035
19;800;1.38667;351.8065
19;800;0.68413;353.7549
19;800;0.70697;336.8847
19;800;0.64985;329.4834
19;800;0.5798;335.505
19;800;0.44651;356.8225
19;800;0.58136;358.871
19;800;0.21192;265.2929
19;940;10.25023;340.6818
19;940;9.96387;333.8687
19;940;9.87453;340.428
19;940;9.96077;324.3638
19;940;9.23035;322.0675
19;940;8.49721;321.5779
19;940;7.85408;320.4206
19;940;7.28678;336.5511
19;940;6.61041;330.3339
19;940;6.417;333.316
19;940;5.42772;329.4097
19;940;4.7779;336.2299
19;940;4.18344;329.1971
19;940;3.6087;329.0046
19;940;2.97508;326.7754
19;940;2.41906;320.3102
19;940;1.76993;303.7793
19;940;1.22308;307.2104
19;940;0.65066;321.639
19;940;0.43801;317.4169
19;940;0.43557;304.0647
