K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;7.956457381;345.3273
0;250;7.821598603;336.1024
0;250;7.681354956;373.746
0;250;7.520332102;361.062
0;250;7.502766511;325.248
0;250;7.367305412;319.8548
0;250;7.264719067;319.8165
0;250;7.136060014;315.8487
0;250;7.02374897;328.1191
0;250;6.895443012;311.6231
0;250;6.801584385;332.8436
0;250;6.684183297;341.5007
0;250;6.5511114;342.352
0;250;6.424721945;338.8321
0;250;6.39200889;328.7323
0;250;6.365114226;366.2949
0;250;6.340259797;347.3362
0;250;6.34209116;352.0219
0;250;6.358973659;364.1935
0;250;6.338132142;351.7952
0;250;6.255373089;350.4585
0;250;6.152916486;345.5343
0;250;6.100713441;366.0612
0;250;6.011251795;364.1799
0;250;5.921261226;371.115
0;250;5.870821697;359.8079
0;250;5.869145839;379.9001
0;250;5.8445472;375.5716
0;250;5.817807414;370.7048
0;250;5.784698941;352.3809
0;250;5.7638164;355.4842
0;250;5.758316113;345.9159
0;250;5.725925505;344.6832
0;250;5.642638941;366.4194
0;250;5.571362707;340.0229
0;250;5.487360766;347.3507
0;250;5.40798528;336.2055
0;250;5.39618629;323.7089
0;250;5.434077513;361.6957
0;250;5.479598821;325.2915
0;250;5.470846781;327.1701
0;250;5.472592186;373.5664
0;250;5.471341905;325.8782
0;250;5.444976502;326.2596
0;250;5.380260173;329.1016
0;250;5.34989835;334.1212
0;250;5.339272622;348.9496
0;250;5.285058821;348.135
0;250;5.242892166;364.6512
0;250;5.219692469;367.5577
0;250;5.18452353;371.9791
0;250;5.12453715;367.2703
0;250;5.13077952;366.4395
0;250;5.095650577;395.5416
0;250;5.048754019;372.0689
0;250;4.992819266;385.5923
0;250;4.920558162;365.5945
0;250;4.927761263;377.1355
0;250;4.94090504;376.6825
0;250;4.952284812;395.8568
0;250;4.886123835;375.9312
0;250;4.953796685;370.3582
0;250;4.9734658;369.5745
0;250;4.841823571;379.0211
0;250;4.759236315;349.4148
0;250;4.703730407;357.1014
0;250;4.494289;363.4436
0;250;4.357579526;346.3084
0;250;4.33416588;326.8288
0;250;3.854134237;323.2277
0;250;3.603382618;343.4943
0;250;3.526207434;338.8026
0;250;3.428647418;333.459
0;250;3.286003639;332.0864
0;250;3.187870267;344.9843
0;250;3.246294661;343.2888
0;250;2.984907349;346.7377
0;250;3.078461174;338.1891
0;250;2.675434221;318.6759
0;250;2.429107695;321.2229
0;250;2.228872087;341.4032
0;250;2.136050789;332.8541
0;250;2.015692072;329.2707
0;250;2.000377172;339.7723
0;250;1.906277063;344.8301
0;250;1.865644462;356.421
0;250;1.76887487;346.2794
0;250;1.444488849;327.1496
0;250;1.200541805;329.0958
0;250;0.962303193;344.3985
0;250;0.772047837;338.2833
0;250;0.670285678;331.6801
0;250;0.510635878;315.68
1;0;9.741726983;543.4015
1;0;9.677304592;529.9808
1;0;9.586090322;566.3715
1;0;9.528295664;538.9452
1;0;9.533412642;551.6718
1;0;9.624283938;580.7091
1;0;9.708151904;551.2944
1;0;9.857785065;571.8126
1;0;9.877409217;571.3518
1;0;9.823260525;587.7565
1;0;9.758781998;615.3499
1;0;9.615804155;605.4156
1;0;9.600637448;622.7954
1;0;9.625284535;627.2002
1;0;9.677243396;609.713
1;0;9.672477374;634.5875
1;0;9.721828572;592.8051
1;0;9.786319238;595.1987
1;0;9.675396736;617.7242
1;0;9.535492557;637.1392
1;0;9.485559544;615.9626
1;0;9.410763286;609.6078
1;0;9.655656354;608.2884
1;0;9.721871773;615.7915
1;0;9.78984074;614.2498
1;0;9.6285023;630.1701
1;0;9.388891857;631.4927
1;0;9.345753204;626.9733
1;0;9.401647649;627.4051
1;0;9.460726663;616.5363
1;0;9.5484149;629.8717
1;0;9.468670717;620.3357
1;0;9.409108498;638.8525
1;0;9.275366459;618.5243
1;0;9.004453479;629.0909
1;0;8.752939831;616.8021
1;0;8.478271261;613.7117
1;0;8.068077213;629.9755
1;0;8.023606236;601.2707
1;0;7.858141815;609.2446
1;0;7.511810581;616.584
1;0;6.695502719;613.7533
1;0;6.260455571;604.3619
1;0;5.921582176;579.9915
1;0;5.472374901;571.3541
1;0;4.956176564;603.0576
1;0;4.469278977;610.458
1;0;4.05346442;639.0358
1;0;3.815725508;640.5941
1;0;3.858813211;637.5321
1;0;3.534760035;637.2602
1;0;3.256994539;618.2153
1;0;3.296715242;609.3423
1;0;3.171662311;570.2066
1;0;2.182296157;586.3151
1;0;2.198165812;591.3094
1;0;2.173801764;588.2036
1;0;1.648088402;591.7748
1;0;1.22250801;620.8012
1;0;0.772005609;566.3421
1;0;0.311451213;560.9664
1;900;9.75181157;660.9141
1;900;9.652071224;625.8722
1;900;9.601101726;675.3058
1;900;9.564947174;627.2479
1;900;9.59411601;694.3042
1;900;9.61542624;612.7337
1;900;9.734328419;602.3673
1;900;9.766440245;604.8093
1;900;9.71256554;642.581
1;900;9.458229787;625.1634
1;900;9.015874613;610.017
1;900;8.66818164;633.372
1;900;7.85068455;614.5629
1;900;7.286217571;664.7744
1;900;6.966142932;619.7125
1;900;6.48391009;654.2309
1;900;5.964395791;679.2167
1;900;5.374978914;587.7004
1;900;5.321682404;622.147
1;900;5.083743537;635.8555
1;900;5.176828075;553.335
1;900;5.301248117;542.7399
1;900;4.856813827;536.1049
1;900;4.258230383;516.9713
1;900;3.957865292;460.2283
1;900;3.350422957;476.9564
1;900;2.984567568;482.4958
1;900;2.510829006;498.488
1;900;2.109857915;505.3237
1;900;1.769576982;464.1358
1;900;1.338842572;463.8676
1;900;1.044767868;455.8097
1;900;1.102612972;408.8855
1;900;1.009262202;436.1074
1;900;0.524505401;423.2641
1;900;0.563683217;462.7941
1;900;0.603125375;452.4339
1;900;0.533128393;447.8286
1;900;0.251765819;443.2838
1;900;0.081786362;442.5803
1;900;0.066735341;463.5139
1;900;0.06786283;434.9235
1;900;0.095766612;444.3114
1;900;0.086240315;453.2761
1;900;0.025747623;431.9928
3;500;11.37704552;637.6796
3;500;11.13557578;686.1692
3;500;10.98549533;737.1997
3;500;11.14388489;727.1454
3;500;11.33255045;768.5702
3;500;11.35222022;768.3136
3;500;10.89347899;659.167
3;500;10.586966;746.2249
3;500;10.10690089;708.9216
3;500;9.713753558;731.6527
3;500;8.897916117;750.1635
3;500;8.285426319;695.8256
3;500;7.792930391;650.0348
3;500;7.38883808;749.2404
3;500;7.230033346;725.1824
3;500;6.496598751;725.9903
3;500;5.901676586;699.1756
3;500;5.344738569;698.8774
3;500;4.913582841;682.0323
3;500;4.57102388;702.7781
3;500;3.996316461;689.0539
3;500;3.3742734;716.5123
3;500;2.846527941;640.5826
3;500;2.231634465;620.8786
3;500;1.71714085;697.7014
3;500;1.420398371;620.6382
3;500;0.83768593;594.9554
3;500;0.412034146;522.7967
3;500;0.52885204;470.2923
3;500;0.429141601;444.2504
5;500;11.22099058;518.2589
5;500;11.1965035;522.4476
5;500;10.97703776;517.1911
5;500;10.88973132;531.2962
5;500;10.52982993;502.6018
5;500;10.00456958;500.5227
5;500;9.598316063;519.5263
5;500;9.212416816;526.5055
5;500;8.875626922;559.2886
5;500;8.401325288;518.3538
5;500;8.021688259;508.4497
5;500;7.739279305;503.8217
5;500;7.270716203;488.7099
5;500;6.750199941;509.9778
5;500;6.158507912;514.2011
5;500;5.583042246;487.6048
5;500;5.279636428;524.9904
5;500;4.871107561;526.4937
5;500;4.338321415;523.8194
5;500;3.796409069;518.3885
5;500;3.0708568;541.5176
5;500;2.47348318;563.1286
5;500;1.896722914;570.2511
5;500;1.42248869;590.4215
5;500;0.880190813;579.1997
5;500;0.433019539;604.0933
7;900;10.71417096;544.6879
7;900;10.24140364;551.0246
7;900;10.0784195;566.97
7;900;9.558577454;588.7752
7;900;8.947000517;572.5024
7;900;8.515915227;537.0685
7;900;8.270090678;550.1473
7;900;7.979201129;535.3775
7;900;7.698688395;533.93
7;900;7.671175179;543.7901
7;900;7.438107018;549.1677
7;900;7.157991582;536.0666
7;900;6.866905614;562.2805
7;900;6.622443104;577.6509
7;900;6.625786925;557.0025
7;900;6.639144628;602.2776
7;900;6.657411719;576.6453
7;900;6.485202865;557.2033
7;900;6.069850131;606.7787
7;900;6.176788537;606.3034
7;900;6.141066636;568.7865
7;900;5.806488118;591.4313
7;900;5.20899195;564.3828
7;900;4.534374467;638.9894
7;900;4.204354346;567.3508
7;900;3.989726691;569.3538
7;900;3.757488264;567.795
7;900;3.636360091;649.3695
7;900;3.402398405;685.9275
7;900;3.322978343;761.3327
7;900;3.152608121;697.2903
7;900;3.136883191;721.3428
7;900;2.569476167;745.7372
7;900;1.75698855;762.5566
7;900;1.24959495;699.2969
7;900;0.710115403;707.3593
7;900;0.396516462;629.2538
7;900;0.391619418;588.5048
7;900;0.506064393;620.5474
11;200;8.231199965;595.2062
11;200;8.134599278;633.0428
11;200;8.054348908;567.6587
11;200;8.062401547;563.7959
11;200;8.143912243;594.4036
11;200;7.836784522;584.0848
11;200;7.532062021;568.538
11;200;7.281912768;565.7158
11;200;6.862573171;578.3111
11;200;6.498127275;583.6199
11;200;6.105851019;590.1276
11;200;5.849799107;578.5809
11;200;5.613817601;565.1078
11;200;5.323295401;573.077
11;200;5.458981789;524.2518
11;200;5.038075952;518.5321
11;200;4.581603915;571.2847
11;200;4.421349058;554.8771
11;200;4.026679816;536.4225
11;200;3.657831344;522.4423
11;200;3.266263755;544.6496
11;200;2.991993269;566.9526
11;200;2.68734196;553.6835
11;200;2.316398275;571.5441
11;200;1.983622568;545.8147
11;200;1.644152196;536.6183
11;200;1.227081086;578.2656
11;200;1.288424803;567.4351
11;200;1.493834311;553.3758
11;200;1.551282204;599.1755
11;200;0.929931369;629.6171
11;200;0.197360272;641.0032
11;200;0.222845535;655.976
11;200;0.213959054;697.4822
14;800;8.616065029;585.8214
14;800;8.61423757;549.0528
14;800;8.584094655;574.3198
14;800;8.569537398;602.7387
14;800;8.521561408;615.2848
14;800;8.474707326;534.3389
14;800;8.424252149;574.1818
14;800;8.359694973;512.636
14;800;8.301756281;527.7714
14;800;8.024696082;534.1675
14;800;7.53717159;579.4527
14;800;6.812102969;564.5779
14;800;6.480238918;583.8525
14;800;5.774913454;571.4044
14;800;5.106650498;604.399
14;800;4.476608784;637.5155
14;800;4.381012338;695.4289
14;800;3.936537107;730.9955
14;800;3.186513971;753.2878
14;800;2.496031637;760.7056
14;800;1.876334233;722.8821
14;800;1.116659126;682.9268
14;800;0.549217902;1686.8137
14;800;0.5294956;0
17;600;9.003867697;474.6249
17;600;8.697048849;486.9796
17;600;8.41707144;490.9617
17;600;8.227214974;517.6817
17;600;7.84654925;532.9067
17;600;7.306167702;543.031
17;600;6.781645231;518.8765
17;600;6.376802987;537.8976
17;600;5.917609537;496.3021
17;600;5.949541562;544.6507
17;600;5.795186971;554.7812
17;600;5.463473417;553.7616
17;600;5.364715738;539.6429
17;600;5.194394008;560.6663
17;600;4.797485649;556.2574
17;600;4.285165868;570.2267
17;600;3.826533343;573.9554
17;600;3.813263903;612.8197
17;600;3.803449562;578.5828
17;600;3.451379339;587.5314
17;600;3.135976752;615.8917
17;600;2.884493821;677.9091
17;600;2.946351182;690.8557
17;600;2.507880799;674.5275
17;600;2.194354633;662.0184
17;600;1.880166954;666.4143
17;600;1.480754339;680.7532
17;600;1.153636662;702.4573
17;600;0.864087252;739.4779
17;600;0.931772564;721.9842
17;600;0.956011683;723.9425
17;600;0.47407257;695.6666
18;200;8.305282808;531.1373
18;200;8.129460565;524.5805
18;200;7.780497746;541.1075
18;200;7.309731992;569.527
18;200;6.802174105;489.2215
18;200;6.184888948;496.0755
18;200;5.525695404;489.0011
18;200;4.961164039;488.4395
18;200;4.374920453;466.4886
18;200;3.95118392;447.1569
18;200;4.073684522;465.6234
18;200;3.714291237;432.769
18;200;3.219898647;425.0193
18;200;2.635144445;445.4734
18;200;2.228140872;447.8716
18;200;1.858371072;467.3325
18;200;1.420676844;458.28
18;200;1.347265566;472.0934
18;200;1.328083261;462.832
18;200;1.101644412;493.6296
18;200;0.755262694;467.2837
19;800;7.692154685;537.7553
19;800;7.608773296;531.7552
19;800;7.708969173;528.648
19;800;7.735120078;554.7804
19;800;7.752420021;536.6069
19;800;7.904977758;526.4821
19;800;7.562974657;519.1926
19;800;6.621035564;519.9148
19;800;6.040501719;538.0677
19;800;5.264530315;520.1632
19;800;4.39292287;518.9342
19;800;3.64651057;517.2573
19;800;2.922650996;516.1946
19;800;2.316242813;544.0792
19;800;2.461907241;556.6141
19;800;2.307943311;571.3968
19;800;1.313324504;566.8175
19;800;0.631033517;568.8158
19;940;8.136915844;465.8296
19;940;7.908948798;486.822
19;940;7.909214013;506.0131
19;940;7.465296311;500.1943
19;940;6.877304386;513.1457
19;940;6.238409353;524.3936
19;940;5.616304819;527.7821
19;940;5.000603613;551.2446
19;940;4.456559619;555.3024
19;940;3.821255308;584.3713
19;940;3.277803655;561.0711
19;940;2.761442047;543.6468
19;940;2.890038638;552.4123
19;940;2.912385025;570.1474
19;940;3.016281761;588.4114
19;940;2.455135037;618.2873
19;940;1.802951741;607.3653
19;940;1.341788837;623.0918
19;940;0.800309783;1302.6132
19;940;0.242998136;693.9524
