K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
3;500;8.91384;578.591
3;500;8.8602;569.9081
3;500;8.72075;571.0178
3;500;8.78755;579.4363
3;500;8.45523;589.9682
3;500;8.23096;577.8503
3;500;8.7924;581.3439
3;500;7.98628;563.2826
3;500;8.17058;587.7341
3;500;8.17346;561.8389
3;500;8.2764;557.6517
3;500;8.29022;540.0632
3;500;7.77656;566.834
3;500;7.5446;511.577
3;500;7.26986;531.175
3;500;7.5866;577.3491
3;500;6.77165;560.4088
3;500;6.49875;547.4951
3;500;6.656;496.4917
3;500;6.55247;521.6651
3;500;6.198;488.0611
3;500;6.2883;491.9837
3;500;5.81914;450.0312
3;500;5.42019;465.2893
3;500;4.93478;544.9048
3;500;4.48817;547.6351
3;500;4.27794;592.2929
3;500;3.95895;571.9921
3;500;3.56703;497.065
3;500;3.3146;504.5442
3;500;2.7577;452.2086
3;500;2.2865;467.1694
3;500;1.85601;468.3823
3;500;1.49787;482.8216
3;500;1.13737;491.5668
3;500;0.90905;461.6457
3;500;0.41607;486.7247
3;500;0.29231;478.5657
3;500;0.35518;451.6344
3;500;0.29652;474.2844
3;500;0.35023;483.5895
3;500;0.4242;512.3906
3;500;0.38371;438.9796
3;500;0.40358;448.6165
3;500;0.34964;433.0533
5;500;10.27957;832.0598
5;500;10.26745;844.1058
5;500;10.21624;804.3249
5;500;10.23198;927.0091
5;500;10.23567;786.5564
5;500;10.2022;664.8356
5;500;10.22814;666.0534
5;500;10.21698;681.992
5;500;9.65615;633.4156
5;500;8.82007;612.7783
5;500;8.6299;748.2164
5;500;7.39718;679.1492
5;500;6.6509;646.2792
5;500;5.87863;669.4845
5;500;4.96848;595.6613
5;500;4.19326;536.9166
5;500;3.59585;472.0186
5;500;3.22;544.7383
5;500;2.4846;609.8723
5;500;1.89222;561.027
5;500;1.3277;672.0689
5;500;0.72751;750.2262
5;500;0.29644;919.302
5;500;0.26622;498.0881
5;500;0.41023;511.5137
5;500;0.42272;509.0513
5;500;0.44887;528.5522
5;500;0.41452;534.442
7;900;7.9568;474.1424
7;900;7.538;440.2085
7;900;6.8887;461.2791
7;900;6.86114;448.2578
7;900;6.81702;457.5271
7;900;6.84148;431.0157
7;900;6.80365;418.028
7;900;6.66021;404.7364
7;900;6.536;391.9294
7;900;6.11886;382.253
7;900;5.69559;395.016
7;900;5.33499;396.8399
7;900;4.89776;393.4972
7;900;4.40135;366.9443
7;900;3.86023;364.0053
7;900;3.49543;381.237
7;900;3.13476;392.8708
7;900;2.87917;377.8943
7;900;2.74144;374.119
7;900;2.47891;387.961
7;900;2.32174;375.7144
7;900;2.10709;393.504
7;900;1.8218;373.7681
7;900;1.59932;358.184
7;900;1.3696;367.805
7;900;1.10419;351.0308
7;900;0.8611;351.3906
7;900;0.69108;441.3387
7;900;0.59473;616.4102
7;900;0.49188;515.424
7;900;0.36678;415.7108
7;900;0.15295;581.3973
11;200;11.8479;804.491
11;200;10.96847;736.4775
11;200;10.33352;786.2654
11;200;9.64389;662.5553
11;200;8.79428;654.9382
11;200;8.1754;632.3087
11;200;7.11423;764.0725
11;200;6.26406;680.85
11;200;5.56465;489.2044
11;200;4.7468;692.925
11;200;4.1178;681.7124
11;200;3.1471;445.5063
11;200;2.35691;827.6289
11;200;1.49861;873.1397
11;200;0.69344;1676.508
11;200;0.21509;1104.8575
11;200;0.2892;1447.8423
11;200;0.36922;1237.8256
14;800;11.7451;856.1578
14;800;11.14029;919.5003
14;800;11.1912;842.2994
14;800;11.22461;882.0664
14;800;11.25949;872.8056
14;800;11.25069;754.8852
14;800;11.30701;754.3908
14;800;11.34462;763.6336
14;800;11.32858;785.2633
14;800;11.40049;733.1101
14;800;11.35438;666.9988
14;800;10.72282;715.5681
14;800;10.27883;809.4822
14;800;9.9015;778.4497
14;800;9.9434;758.6292
14;800;9.23353;680.265
14;800;8.5762;695.8104
14;800;7.8495;756.9793
14;800;6.92683;655.237
14;800;6.7497;610.1889
14;800;5.209;411.3486
14;800;4.31223;630.4678
14;800;3.37454;606.8133
14;800;2.48282;671.5093
14;800;1.63974;667.1869
14;800;0.75455;861.4754
14;800;0.30538;643.9066
14;800;0.18583;535.427
14;800;0.34159;774.6046
14;800;0.15827;827.8356
17;600;11.69299;798.0143
17;600;11.4067;734.5901
17;600;11.32555;855.987
17;600;11.13046;891.5706
17;600;10.4978;741.0901
17;600;9.63797;754.8354
17;600;8.76546;964.6882
17;600;7.83775;935.952
17;600;7.8208;788.2958
17;600;6.11989;729.5087
17;600;5.18262;743.618
17;600;4.29029;693.8123
17;600;3.3942;680.4661
17;600;2.47521;618.9377
17;600;1.57309;660.6656
17;600;0.73024;493.4544
17;600;0.68982;606.3995
17;600;0.48988;780.5698
17;600;0.25248;610.5251
18;200;11.72543;960.5309
18;200;11.85232;727.1242
18;200;11.18714;855.3146
18;200;11.26385;964.5086
18;200;10.94031;911.5169
18;200;10.4996;792.9129
18;200;9.43808;769.6178
18;200;8.7087;887.8841
18;200;7.92857;869.0667
18;200;7.15894;939.2705
18;200;6.53422;931.4511
18;200;5.84515;781.2345
18;200;5.12254;788.542
18;200;4.40718;644.8108
18;200;3.78043;543.1805
18;200;3.4225;513.8431
18;200;2.34509;712.2915
18;200;1.73284;816.6813
18;200;1.719;633.513
18;200;0.49217;696.0007
18;200;0.18923;549.2433
18;200;0.19958;783.3031
18;200;0.25396;571.4904
19;800;11.61399;965.1396
19;800;11.546;851.1943
19;800;11.40988;858.9886
19;800;11.15802;951.3075
19;800;10.57702;838.2365
19;800;9.73493;877.7776
19;800;8.79524;921.7411
19;800;7.88852;898.9276
19;800;6.9119;816.5673
19;800;5.94935;875.4743
19;800;5.37629;840.5997
19;800;4.86739;632.2106
19;800;3.98851;882.5366
19;800;3.4853;909.2485
19;800;2.21275;833.9083
19;800;1.29793;895.9691
19;800;0.40853;1174.2401
19;800;0.16101;1261.8638
19;800;0.30856;562.8624
19;940;11.3121;994.618
19;940;11.10555;949.3036
19;940;10.94955;865.6873
19;940;10.82628;933.2367
19;940;10.60968;901.7864
19;940;10.2513;875.6691
19;940;9.30203;1003.7486
19;940;8.64094;1008.2042
19;940;7.76629;915.1085
19;940;6.9238;942.2507
19;940;6.24115;976.126
19;940;5.45654;1033.6539
19;940;4.63219;793.6884
19;940;3.8643;973.7663
19;940;3.5799;906.6377
19;940;2.21571;817.8452
19;940;1.33842;655.4815
19;940;0.547;1066.4531
19;940;0.31225;827.3686
19;940;0.16537;786.4529
