K;#¿NOMBRE?;Depth (m);Concentracion volumetrica total (ppm)
0;250;10.36212;123.6288
0;250;9.98966;98.6472
0;250;9.73826;91.3934
0;250;8.94281;118.862
0;250;7.96714;108.3271
0;250;7.10921;126.6431
0;250;6.55292;209.7602
0;250;5.85978;351.2406
0;250;5.78936;414.0306
0;250;5.58061;394.2197
0;250;5.12018;457.0364
0;250;4.66596;460.5383
0;250;4.6477;418.8928
0;250;3.49698;418.3486
0;250;3.16934;403.4417
0;250;2.78046;409.2762
0;250;2.60496;363.6232
0;250;2.55731;397.5964
0;250;2.51696;403.6811
0;250;2.4648;427.229
0;250;2.38972;386.4091
0;250;2.8404;370.6282
0;250;1.80983;389.7375
0;250;1.73107;389.267
0;250;1.83592;391.6207
0;250;1.8221;380.7527
0;250;1.77688;387.9465
0;250;1.61831;382.3448
0;250;1.52743;393.4321
0;250;1.52861;389.2316
0;250;1.29593;417.0505
0;250;0.83117;412.6217
0;250;0.4055;476.4785
0;250;0.33649;488.0008
0;250;0.42708;443.1555
0;500;10.93351;750.5553
0;500;10.46292;673.9725
0;500;10.53;708.6383
0;500;9.83137;765.2715
0;500;9.19074;732.5591
0;500;8.47349;727.2596
0;500;7.79075;722.7749
0;500;7.1063;721.9526
0;500;6.14679;691.6984
0;500;5.41583;765.2922
0;500;4.85446;757.2628
0;500;4.34489;737.0286
0;500;4.506;681.4475
0;500;3.71252;661.9689
0;500;3.44407;748.7143
0;500;3.99;723.4233
0;500;2.77602;703.6952
0;500;2.54304;722.7312
0;500;2.2664;705.3943
0;500;2.1369;725.8924
0;500;1.75043;716.1028
0;500;1.5541;721.6295
0;500;1.23098;735.1044
0;500;0.86206;714.6973
0;500;0.53732;709.9465
0;500;0.48161;691.3868
0;500;0.21531;727.2502
1;1;9.6718;352.7484
1;1;8.59667;314.25
1;1;8.20162;795.6286
1;1;7.18776;703.6379
1;1;6.51848;654.5232
1;1;5.90671;607.9834
1;1;5.34496;663.9391
1;1;4.91749;630.8171
1;1;4.45883;706.5229
1;1;4.19578;664.3618
1;1;3.9874;675.5056
1;1;3.47356;671.9789
1;1;3.291;738.5769
1;1;2.57519;688.2407
1;1;2.45962;646.5013
1;1;2.30394;684.6791
1;1;2.16051;668.205
1;1;1.85446;720.0116
1;1;1.58336;666.3269
1;1;1.35113;684.821
1;1;1.4841;741.4757
1;1;1.252;677.1217
1;1;0.99373;719.5491
1;1;0.85378;707.1219
1;1;0.33073;694.9413
1;1;0.1418;716.568
1;1;0.23933;722.191
1;1;0.44215;776.3465
1;900;11.33317;305.4141
1;900;10.85562;304.0746
1;900;10.62091;298.5133
1;900;10.35037;309.0536
1;900;9.83314;295.095
1;900;9.70101;537.2658
1;900;8.9205;759.2008
1;900;8.23938;712.0366
1;900;7.64399;675.7112
1;900;7.9923;691.7467
1;900;6.53533;627.5861
1;900;5.95962;664.8047
1;900;5.42211;725.2474
1;900;5.1436;666.3231
1;900;4.65997;703.6816
1;900;4.30455;701.2044
1;900;3.96087;676.1241
1;900;3.6843;714.8054
1;900;3.35525;674.7834
1;900;3.11962;760.4067
1;900;2.92528;680.247
1;900;2.84807;730.0783
1;900;2.64671;695.3867
1;900;2.42223;717.0817
1;900;2.10879;688.6697
1;900;1.86621;703.6812
1;900;1.45841;724.9545
1;900;1.13707;703.0426
1;900;0.84898;767.1753
1;900;0.6302;697.5913
1;900;0.44311;701.5323
